"SourceReef","Longitude","Latitude","Density","OutDegree","InDegree","OutStrength","InStrength","SelfRecruitment","LocalRetention","Betweenness","Type","Temperature","Salinity","CurrentSpeed","pH","HSI_value"
"STM_12",-76.45485941,38.20919873,151.90909091,30,30,12.9112499936455,12.6876334348542,0.430893827821754,0.0333735175164161,900,"Source",16.6538153489431,10.3886907100677,0.0133512206091428,8.27043128013611,0.831916847896132
"STM_13",-76.45209172,38.20840362,130.03870481,30,30,11.0208805283119,12.6902291486823,0.368857946189417,0.0334690086914422,900,"Isolated",NA,NA,NA,NA,0
"STM_16",-76.44750278,38.19790759,102,30,30,8.67669097196887,12.6983885791756,0.289325478643396,0.0333451403971973,900,"Sink",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"STM_17",-76.44717658,38.19787162,352.54413292,30,30,29.9876545130601,12.6975910104085,1,0.0333470561882218,900,"Hub",16.4526822566986,11.481166044871,0.0184726570342011,8.24462540944417,0.851377912064301
"STM_28",-76.43185372,38.19580124,153.23076923,30,30,13.0222659099576,12.6847614462634,0.434642800493779,0.0333768948890396,900,"Source",16.4833413362503,11.8733247915904,0.00645108325184875,8.234992146492,0.861769711693913
"STM_34",-76.43104352,38.19207651,94.0636898580824,30,30,7.99397136723317,12.6847614462634,0.266813942070134,0.0333768948890396,900,"Isolated",16.4833413362503,11.8733247915904,0.00645108325184875,8.234992146492,0.861769711693913
"MiniPlantingArea3",-76.45563643,38.19559745,178.42,30,30,15.173913107966,12.6947316080875,0.506092665681909,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"PlantingArea6",-76.4557947,38.19520443,173.56,30,30,14.760589390307,12.6947316080875,0.492307157581841,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"PlantingArea5",-76.455411,38.19594548,221.31,30,30,18.8215374393227,12.6947316080875,0.627751192927157,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"SupplementalSite2Inshore",-76.4475205,38.20366091,52.99,30,30,4.50669341833487,12.6960215650507,0.150307422679545,0.0333520407818378,900,"Sink",16.570830543836,11.0394996007284,0.0118551100945686,8.25760650634766,0.844059861031183
"Supplemental1",-76.45418408,38.19651195,110.94,30,30,9.43500683890679,12.6947316080875,0.3146840058892,0.0333528116367175,900,"Isolated",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"MiniPlantingArea2",-76.45496448,38.19598567,182.37,30,30,15.5098449361045,12.6947316080875,0.517296936668589,0.0333528116367175,900,"Source",16.391995827357,11.3436767260234,0.00843439223269417,8.22875674565633,0.84862365642528
"MiniPlantingArea1",-76.45396827,38.19732628,244.55,30,30,20.8027919332842,12.6983885791756,0.693672017669044,0.0333451403971973,900,"Hub",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"PlantingArea3",-76.45420233,38.19697833,161.15,30,30,13.7057361535539,12.6957905317534,0.457105891013561,0.0333514293498956,900,"Hub",16.41907842954,10.9312341213226,0.0178245238410655,8.24293168385824,0.83990985774573
"PlantingArea2",-76.45386911,38.19794391,208.74,30,30,17.756592877341,12.6983885791756,0.592096082470809,0.0333451403971973,900,"Hub",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"PlantingArea1",-76.45359295,38.1988048,184.25,30,30,15.6733363880908,12.6983885791756,0.522629602353389,0.0333451403971973,900,"Hub",16.4954187472661,11.1702124277751,0.0250867556784395,8.24855550130208,0.845181638155157
"5-acreReefSite",-76.43089697,38.19089631,240.66,30,30,20.4464857563014,12.6802878044565,0.682637938140389,0.0333865656072465,900,"Source",16.3025022347768,11.8683060805003,0.00597401041464888,8.24949113527934,0.852503646316737
